meanfreq,sd,median,Q25,Q75,IQR,sp.ent,sfm,mode,meanfun,label
0.059780985,0.064241268,0.032026913,0.015071489,0.09019344,0.075121951,0.893369417,0.491917766,0,0.084279106,male
0.06600874,0.067310029,0.040228735,0.019413867,0.09266619,0.073252323,0.892193242,0.513723843,0,0.107936554,male
0.077315503,0.083829421,0.036718459,0.008701057,0.131908017,0.123206961,0.846389092,0.478904979,0,0.098706262,male
0.151228092,0.072110587,0.158011187,0.096581728,0.207955252,0.111373524,0.963322462,0.727231799,0.083878185,0.088964849,male
0.135120387,0.0791461,0.124656229,0.078720218,0.206044929,0.127324711,0.971955076,0.783568058,0.104261402,0.106397845,male
0.132786407,0.079556866,0.119089848,0.067957993,0.209591599,0.141633606,0.963181346,0.738307004,0.112555426,0.11013192,male
0.15076233,0.074463205,0.160106383,0.092898936,0.205718085,0.112819149,0.96757307,0.76263767,0.086196809,0.105944515,male
0.160514332,0.076766885,0.144336775,0.110532168,0.231961875,0.121429706,0.95925457,0.719857907,0.128324067,0.09305243,male
0.142239417,0.078018462,0.138587444,0.088206278,0.208587444,0.120381166,0.970722932,0.770992054,0.219103139,0.096728946,male
0.134328777,0.080350028,0.121451347,0.075579989,0.201957119,0.12637713,0.975246143,0.804505253,0.011698736,0.105880926,male
0.157020511,0.071942931,0.168160153,0.101429933,0.216739752,0.115309819,0.965249139,0.733692878,0.096358437,0.088893983,male
0.138550521,0.077053993,0.127526596,0.08731383,0.202739362,0.115425532,0.966003775,0.752042013,0.012101064,0.104199319,male
0.137342742,0.080876707,0.124262508,0.083144899,0.209226771,0.126081871,0.963513528,0.736149955,0.108434048,0.092644019,male
0.181225459,0.060042055,0.190953206,0.128838821,0.229532062,0.100693241,0.93744576,0.537079995,0.21982669,0.131503722,male
0.183115281,0.06698235,0.191232529,0.129148666,0.240152478,0.111003812,0.940332623,0.571394202,0.049987294,0.102798695,male
0.174272105,0.069411045,0.190874107,0.115601979,0.228279274,0.112677295,0.950972025,0.635199178,0.050027488,0.102045991,male
0.190846298,0.065790282,0.207950987,0.132280463,0.244356705,0.112076242,0.938546013,0.538809584,0.05012934,0.113322801,male
0.171246971,0.07487157,0.152806653,0.122390852,0.243617464,0.121226611,0.936953537,0.586419514,0.05995842,0.079718312,male
0.168345946,0.074120817,0.145618472,0.11575591,0.239824079,0.124068169,0.93452338,0.559742318,0.060032985,0.083484022,male
0.173631376,0.073351512,0.153568557,0.123680214,0.244234033,0.120553819,0.930916893,0.518268557,0.060026798,0.090129539,male
0.172754287,0.076902583,0.177736289,0.120070012,0.245367561,0.12529755,0.925539327,0.523081123,0.059953326,0.093573513,male
0.181015394,0.074369304,0.169298813,0.128673139,0.254174757,0.125501618,0.91528412,0.475317471,0.05995685,0.09864341,male
0.163535853,0.072448898,0.145542522,0.113929619,0.22744868,0.113519062,0.927014678,0.542422404,0.059941349,0.062541644,male
0.170212798,0.075104946,0.146052999,0.123988842,0.250125523,0.126136681,0.913832254,0.487965716,0.059944212,0.077698415,male
0.160422477,0.076614764,0.144823806,0.120924041,0.23724354,0.116319499,0.933029647,0.567423614,0.060078309,0.098944146,male
0.164699838,0.075361772,0.14701847,0.118698329,0.240474934,0.121776605,0.94066879,0.604020485,0.05996482,0.082962611,male
0.169578801,0.075634514,0.186467577,0.116706485,0.238549488,0.121843003,0.929498042,0.543708544,0.05996587,0.082451321,male
0.169021004,0.071778152,0.143168483,0.125800503,0.248315172,0.122514669,0.902275256,0.477745723,0.128147527,0.130598328,male
0.167340239,0.07284123,0.14173913,0.122173913,0.24,0.117826087,0.913763493,0.53947909,0.134782609,0.120052184,male
0.180527821,0.070866998,0.142385321,0.129541284,0.252477064,0.12293578,0.853114894,0.31342645,0.133577982,0.126607441,male
0.153039048,0.07403113,0.158064516,0.092731183,0.214365591,0.121634409,0.973217842,0.807551708,0.216774194,0.067407499,male
0.166659499,0.075961168,0.142781457,0.122075055,0.245077263,0.123002208,0.915784869,0.560406695,0.127019868,0.127719891,male
0.175659429,0.071651533,0.144191617,0.131057884,0.256526946,0.125469062,0.876748955,0.40390956,0.134411178,0.132726096,male
0.174825733,0.071532831,0.146470588,0.123529412,0.247058824,0.123529412,0.875391519,0.43670621,0.12,0.124684802,male
0.174064614,0.073121844,0.140183486,0.127706422,0.252844037,0.125137615,0.875611111,0.414838884,0.133211009,0.124533186,male
0.159530491,0.075273104,0.146853147,0.121398601,0.239370629,0.117972028,0.921132353,0.582531022,0.133636364,0.120254421,male
0.167648361,0.067219927,0.157239513,0.136021651,0.209526387,0.073504736,0.903982305,0.48288605,0.134506089,0.142748251,male
0.172436386,0.071504543,0.145620438,0.132846715,0.252408759,0.119562044,0.878206881,0.47004435,0.135912409,0.138903871,male
0.162981116,0.065952332,0.142770664,0.134295693,0.206984866,0.072689173,0.869835696,0.429785659,0.137555297,0.131376326,male
0.170209848,0.072023008,0.146003899,0.128810916,0.24588694,0.117076023,0.911850753,0.514600668,0.132358674,0.127529186,male
0.171400807,0.068428139,0.145321955,0.131202483,0.246113266,0.114910784,0.893569585,0.424254448,0.137067494,0.141183375,male
0.146886154,0.068160816,0.12146675,0.097103791,0.213349907,0.116246116,0.940658898,0.611977349,0.121292728,0.081563761,male
0.166763785,0.064488516,0.160123648,0.116846986,0.229582689,0.112735703,0.937848763,0.592123294,0.121391036,0.101681481,male
0.153691861,0.066495859,0.145158831,0.099085133,0.211512071,0.112426938,0.946349009,0.629271573,0.121321474,0.095597118,male
0.168011339,0.068873401,0.167917889,0.115982405,0.228064516,0.112082111,0.926521541,0.567620972,0.121319648,0.101718928,male
0.148281383,0.068117184,0.129892781,0.094867763,0.200343102,0.10547534,0.942626112,0.635852983,0.121286633,0.097531607,male
0.158595955,0.066216652,0.133302217,0.111085181,0.22445741,0.113372229,0.932415159,0.567913489,0.121213536,0.080459827,male
0.163643182,0.070030717,0.14412111,0.110681245,0.227485282,0.116804037,0.94838344,0.632579315,0.121278385,0.055565349,male
0.158656925,0.067564057,0.161061947,0.104452008,0.219196732,0.114744724,0.942189913,0.613578163,0.121225323,0.101394916,male
